ID,common_name
80OIBM,Green Wood Hoopoe
BINKOZ,Green Wood Hoopoe
AP85X5,Green Wood Hoopoe
81OTTH,Green Wood Hoopoe
QWHAC3,Green Wood Hoopoe
O11BRT,Green Wood Hoopoe
SDME4L,Green Wood Hoopoe
0LHCDU,Green Wood Hoopoe
1C6LKX,Green Wood Hoopoe
MY9Q5A,Green Wood Hoopoe
BMSBGE,Green Wood Hoopoe
TZM8YY,Green Wood Hoopoe
Q4VM5X,Green Wood Hoopoe
W8SK1G,Green Wood Hoopoe
KU96X8,Green Wood Hoopoe
L0UDQC,Green Wood Hoopoe
EVKAT2,Green Wood Hoopoe
HIYOKT,Green Wood Hoopoe
7KOQO0,Crested Barbet
VO5TCS,Crested Barbet
N4RVRH,Crested Barbet
ASHDZB,Crested Barbet
LIDGV8,Crested Barbet
WNNHBZ,Crested Barbet
5D2WZM,Crested Barbet
WDSMMB,Crested Barbet
91T55Q,Crested Barbet
DB0Y0C,Crested Barbet
6CS96O,Crested Barbet
Y81NYP,Crested Barbet
QAG4XC,Crested Barbet
NN8GMF,Crested Barbet
GVRZOH,Crested Barbet
4Z7NKI,Crested Barbet
TW7LD4,Crested Barbet
K2CR9W,Crested Barbet
QS8TDA,Crested Barbet
9AKHJU,Crested Barbet
DY9UXR,Crested Barbet
161HVU,Crested Barbet
Z3YGXO,Crested Barbet
PEBJQH,Crested Barbet
PBD9YP,Crested Barbet
DYIZWF,Crested Barbet
515QVN,Crested Barbet
8S8KOQ,Crested Barbet
92Y5W2,Crested Barbet
QQISOQ,Crested Barbet
M8JLIT,Crested Barbet
D6CFM2,Crested Barbet
69A8FF,Crested Barbet
C87I6D,Crested Barbet
HQDU7D,Cape Batis
3T66PS,Cape Batis
A0QST3,Cape Batis
A2I8VH,Cape Batis
6K6ZRC,Cape Batis
X8865X,Cape Batis
WJT5UK,Cape Batis
NZ30YN,Cape Batis
FVTCUV,Cape Batis
2B5XR8,Cape Batis
QNH9RG,Cape Batis
5YLLWI,Cape Batis
9O96AE,Cape Batis
G2WVPF,Cape Batis
53GVWM,Cape Batis
V0BP6I,Cape Batis
R4ZXC3,Cape Batis
MO6VXZ,Cape Batis
OFVUH9,Cape Batis
QIW7NH,Cape Batis
W7RWWQ,Cape Batis
BO1CWQ,Cape Batis
8GKDRV,Cape Batis
4C68TZ,Cape Batis
GP32TQ,Cape Batis
Q98WLK,Cape Batis
5CYFQR,Cape Batis
KW22DT,Cape Batis
I20B5U,Cape Batis
6DOMME,Cape Batis
YN28QN,Cape Batis
UA0VQX,Cape Batis
LZ648E,Olive Bushshrike
POG0BR,Olive Bushshrike
O8MJA2,Olive Bushshrike
ZJSXGO,Olive Bushshrike
CNZTVS,Olive Bushshrike
OALGLL,Olive Bushshrike
0V7BFX,Olive Bushshrike
1908OW,Olive Bushshrike
R6OG1N,Olive Bushshrike
VSYJGS,Olive Bushshrike
XLRF17,Olive Bushshrike
7BC2P0,Olive Bushshrike
P9BHRH,Olive Bushshrike
LB6FSX,Olive Bushshrike
C131YV,Olive Bushshrike
1AMF0R,Olive Bushshrike
IS07K1,Olive Bushshrike
5FVPMV,Olive Bushshrike
RQ8ISF,Olive Bushshrike
29HKUV,Olive Bushshrike
3C7TK0,Olive Bushshrike
GO6G82,Olive Bushshrike
3UEN65,Olive Bushshrike
K8CAZJ,Olive Bushshrike
GN7Y38,Olive Bushshrike
DCMJ2M,Olive Bushshrike
AMND4O,Olive Bushshrike
S2U2YB,Olive Bushshrike
1RX6E1,Olive Bushshrike
0NZG55,Olive Bushshrike
27KSOO,Olive Bushshrike
V6CZRB,Olive Bushshrike
WIDP92,Olive Bushshrike
QBYJDM,Olive Bushshrike
0MOSOT,Olive Bushshrike
387C74,Olive Bushshrike
J9RRFC,Olive Bushshrike
27UITN,Orange-breasted Bushshrike
02E4IE,Orange-breasted Bushshrike
I43RP3,Orange-breasted Bushshrike
MT04WN,Orange-breasted Bushshrike
JEPNDR,Orange-breasted Bushshrike
AQ9UTN,Orange-breasted Bushshrike
PBOPHZ,Orange-breasted Bushshrike
OKBDAJ,Orange-breasted Bushshrike
E8FYGU,Orange-breasted Bushshrike
UVOUS2,Orange-breasted Bushshrike
7JQDER,Orange-breasted Bushshrike
UDV1OD,Orange-breasted Bushshrike
ORU7XC,Orange-breasted Bushshrike
6SBZ7B,Orange-breasted Bushshrike
4DWIER,Orange-breasted Bushshrike
JS6R16,Orange-breasted Bushshrike
BRFKFG,Orange-breasted Bushshrike
HZWSUW,Orange-breasted Bushshrike
08BJVG,Orange-breasted Bushshrike
IORKH0,Orange-breasted Bushshrike
IGY2RU,Orange-breasted Bushshrike
LR0UQT,Orange-breasted Bushshrike
ZGB2OB,Orange-breasted Bushshrike
RWJ3CU,Orange-breasted Bushshrike
YP4S88,Orange-breasted Bushshrike
R6QKFN,Orange-breasted Bushshrike
RHCFQ1,Orange-breasted Bushshrike
AYZV0P,Orange-breasted Bushshrike
W5364N,Orange-breasted Bushshrike
J82B3Y,Orange-breasted Bushshrike
38EYYF,Orange-breasted Bushshrike
B11XG9,Orange-breasted Bushshrike
RP71FC,Orange-breasted Bushshrike
QB5E6V,Orange-breasted Bushshrike
MQUJ6F,Orange-breasted Bushshrike
4KOMF8,Orange-breasted Bushshrike
8X7I8U,Orange-breasted Bushshrike
07PWPW,Bokmakierie
C29NHF,Bokmakierie
WU8R9E,Bokmakierie
3QHTRI,Bokmakierie
WLM14P,Bokmakierie
7HRULP,Bokmakierie
1WW0AX,Bokmakierie
M2KGD8,Bokmakierie
YQ8FPK,Bokmakierie
VQ1K57,Bokmakierie
RIS32Q,Bokmakierie
UU3WDD,Bokmakierie
4Y5C8E,Bokmakierie
BJQH7E,Bokmakierie
DIF7TG,Bokmakierie
S26JDU,Bokmakierie
IXY261,Bokmakierie
3DRX9O,Bokmakierie
K3TN6M,Bokmakierie
J17AT9,Bokmakierie
MFMG87,Bokmakierie
BAGK2W,Bokmakierie
F929ZD,Bokmakierie
XQRH9X,Bokmakierie
G3MU3D,Bokmakierie
A2KSWI,Bokmakierie
G5OGSN,Bokmakierie
H2QQPS,Bokmakierie
MB56OX,Bokmakierie
UASTJ2,Bokmakierie
S3N4RD,Bokmakierie
AKYJNB,Bokmakierie
02WSAB,Bokmakierie
MHQAYP,Bokmakierie
VBK6YM,Bokmakierie
7ANBOU,Bokmakierie
DFID0N,Bokmakierie
IT41BD,Bokmakierie
JWALDA,Bokmakierie
152H1P,Bokmakierie
VD8F6F,Bokmakierie
YGO2TK,Bokmakierie
G5GPU6,Bokmakierie
FUBU5K,Bokmakierie
1A6FUM,Bokmakierie
3GYUGB,Bokmakierie
4SJ5GQ,Bokmakierie
1HVGTH,Bokmakierie
V33EHB,Bokmakierie
RANBEJ,Bokmakierie
KQJIDR,Bokmakierie
1DEF21,Bokmakierie
GR9HFI,Bokmakierie
29ZC5S,Bokmakierie
645CQ1,Bokmakierie
D9QUNT,Bokmakierie
CUM3DP,Bokmakierie
5T2C36,Bokmakierie
39G0DE,Bokmakierie
I98R74,Bokmakierie
ZHKJOD,Bokmakierie
6OC5F8,Bokmakierie
SDR9V4,Bokmakierie
Z5PJ0U,Bokmakierie
8HRZTI,Bokmakierie
E7UQZ1,Bokmakierie
RVR7P4,Bokmakierie
YPUCLY,Bokmakierie
VNESTJ,Bokmakierie
EL1EDW,Bokmakierie
9M50UT,Bokmakierie
UNXY31,Bokmakierie
8FHGEG,Bokmakierie
SK4APZ,Bokmakierie
4QD3MS,Bokmakierie
K8RTGZ,Bokmakierie
JPLU8E,Bokmakierie
TFHK9A,Bokmakierie
MI40BX,Bokmakierie
9L9BK2,Bokmakierie
96TMLX,Bokmakierie
G36KRE,Bokmakierie
L2DGXF,Bokmakierie
7PXD0J,Bokmakierie
7FPANY,Bokmakierie
C49KXJ,Bokmakierie
KDEBIL,Bokmakierie
TSNQL9,Black-backed Puffback
8TYER7,Black-backed Puffback
NYK3UV,Black-backed Puffback
G783BZ,Black-backed Puffback
70Y1Q7,Black-backed Puffback
CLXW4V,Black-backed Puffback
TMR0D2,Black-backed Puffback
WNB3HU,Black-backed Puffback
CEN5EN,Black-backed Puffback
1WY0H7,Black-backed Puffback
XQXKZD,Black-backed Puffback
W8KN1F,Black-backed Puffback
YPN0XV,Black-backed Puffback
FLTTTW,Black-backed Puffback
Y7595N,Black-backed Puffback
A6B0HK,Black-backed Puffback
DIDW9A,Black-backed Puffback
22MWLW,Black-backed Puffback
88H2R0,Black-backed Puffback
D6R4EH,Black-backed Puffback
YBNCPJ,Black-backed Puffback
ZU6W1G,Black-backed Puffback
J96TMY,Black-backed Puffback
W4961I,Black-backed Puffback
V7F5ZZ,Black-backed Puffback
MO93UW,Black-backed Puffback
UZXKDD,Black-backed Puffback
10Q5GC,Black-backed Puffback
3KHDY6,Black-backed Puffback
I4FO7Q,Black-backed Puffback
BC2RWZ,Black-backed Puffback
1HAZVH,Black-backed Puffback
IURECK,Black-backed Puffback
E0O9C8,Black-backed Puffback
C5OVOB,Black-backed Puffback
9MXTWH,Black-backed Puffback
TAGN1N,Black-backed Puffback
PCQWNH,Black-backed Puffback
XZIQE6,Black-backed Puffback
Y6Z9E7,Black-backed Puffback
AE3BWJ,Black-backed Puffback
MIXC0U,Black-backed Puffback
EA2P06,Black-backed Puffback
O4B4BX,Black-backed Puffback
1WO820,Black-backed Puffback
80E9AZ,Black-backed Puffback
MPC7NS,Black-backed Puffback
QIV956,Black-backed Puffback
O0EIHP,Black-backed Puffback
N53IKJ,Black-backed Puffback
LUXPG2,Black-backed Puffback
4A5EVS,Black-backed Puffback
O9IM1F,Southern Boubou
Q6CNPM,Southern Boubou
8N9UXP,Southern Boubou
UN1Q5P,Southern Boubou
BW3QIV,Southern Boubou
VVDDHA,Southern Boubou
D1HLXQ,Southern Boubou
4BJKI4,Southern Boubou
TPSNXQ,Southern Boubou
A8U9DJ,Southern Boubou
Z3FM8P,Southern Boubou
MQ9G77,Southern Boubou
VXRDL7,Southern Boubou
JL3QB8,Southern Boubou
WCHMRK,Southern Boubou
BU4QCD,Southern Boubou
IS1H27,Southern Boubou
111CY1,Southern Boubou
48ELF5,Southern Boubou
FPT48E,Southern Boubou
EPTL15,Southern Boubou
7S49D4,Southern Boubou
LJ137N,Southern Boubou
ZUROWD,Southern Boubou
TYAOP9,Southern Boubou
G7HLLB,Southern Boubou
PT1DS7,Southern Boubou
XPD9W9,Southern Boubou
6E5JTD,Southern Boubou
6LE62S,Southern Boubou
Q4ZCUY,Southern Boubou
MPIF7R,Southern Boubou
QV82X5,Southern Boubou
N3Q03X,Southern Boubou
D62FNA,Southern Boubou
GDFZJZ,Southern Boubou
Q5939Z,Southern Boubou
6U5700,Southern Boubou
OIMXKV,Southern Boubou
TUDWM1,Southern Boubou
Y21AXM,Southern Boubou
JW4RMR,Southern Boubou
JNCWZM,Southern Boubou
7IOSCQ,Southern Boubou
C9KZZX,Southern Boubou
HQXRFT,Southern Boubou
P9EUB6,Southern Boubou
38394O,Southern Boubou
PPC35A,Southern Boubou
RBB7HY,Southern Boubou
YCDKTW,Southern Boubou
RDAQXP,Southern Boubou
79Q1PG,Southern Boubou
8Y98EK,Southern Boubou
N6RJXH,Southern Boubou
IQBYEP,Southern Boubou
C180LY,Southern Boubou
CG0CY6,Southern Boubou
Z4CTLB,Southern Boubou
31BO6H,Southern Boubou
SB986D,Southern Boubou
2MAEP5,Southern Boubou
THDWS9,Southern Boubou
PKAI8S,Southern Boubou
PPXM8D,Southern Boubou
J7ZT24,Black-headed Oriole
CIW7V5,Black-headed Oriole
JKFPW3,Black-headed Oriole
PCLZ1R,Black-headed Oriole
Z3EN1Z,Black-headed Oriole
G6H69V,Black-headed Oriole
G5G5CN,Black-headed Oriole
XUWNAI,Black-headed Oriole
CO26LA,Black-headed Oriole
197OWZ,Black-headed Oriole
G8RXGE,Black-headed Oriole
396VWZ,Black-headed Oriole
PBV290,Black-headed Oriole
AK88S7,Black-headed Oriole
TWGPLN,Black-headed Oriole
KWE3NE,Black-headed Oriole
A7RI1O,Black-headed Oriole
XMSL8J,Black-headed Oriole
RYAKAE,Black-headed Oriole
7ONQOA,Black-headed Oriole
BXVVJ5,Black-headed Oriole
RJ3FIZ,Black-headed Oriole
YCLY2C,Black-headed Oriole
NRVI5U,Black-headed Oriole
VS2UUV,Black-headed Oriole
SPMSYM,Black-headed Oriole
K0G1H0,Black-headed Oriole
2Q7ZAK,Black-headed Oriole
TBNVLB,Black-headed Oriole
1MST88,Black-headed Oriole
CV9N3W,Black-headed Oriole
8DEQS5,Black-headed Oriole
65R9P2,Black-headed Oriole
3S07JY,Black-headed Oriole
BHXI1U,Black-headed Oriole
SHSAS7,Black-headed Oriole
PUQQF5,Black-headed Oriole
647MAL,Black-headed Oriole
JCKRVZ,Black-headed Oriole
0ZY3RH,Black-headed Oriole
9C1OLF,Black-headed Oriole
FYQLOH,Black-headed Oriole
4JOH8Q,Black-headed Oriole
2S1DPZ,Black-headed Oriole
PXG40D,Black-headed Oriole
43N1JJ,Black-headed Oriole
CTXVOR,Black-headed Oriole
7HYCA7,Fork-tailed Drongo
FAIMBM,Fork-tailed Drongo
TXYIFA,Fork-tailed Drongo
PSG8D8,Fork-tailed Drongo
78XZA8,Fork-tailed Drongo
TOBAH3,Fork-tailed Drongo
L6X14Q,Fork-tailed Drongo
ODG8UO,Fork-tailed Drongo
GC7MGZ,Fork-tailed Drongo
U036O5,Fork-tailed Drongo
P3LSAF,Fork-tailed Drongo
8IF90S,Fork-tailed Drongo
6TUP24,Fork-tailed Drongo
1KP787,Fork-tailed Drongo
XJOXOL,Fork-tailed Drongo
XI6LP4,Fork-tailed Drongo
3C96NG,Fork-tailed Drongo
SCTFL4,Fork-tailed Drongo
SGZTDU,Fork-tailed Drongo
6WMPO4,Fork-tailed Drongo
O09B09,Fork-tailed Drongo
AW794D,Fork-tailed Drongo
DPL33D,Fork-tailed Drongo
67DHHP,Fork-tailed Drongo
YQP2VA,Fork-tailed Drongo
C7AKX8,Fork-tailed Drongo
ZUTL9N,Fork-tailed Drongo
KD4BRT,Fork-tailed Drongo
RL9XUF,Fork-tailed Drongo
J1QZD9,Fork-tailed Drongo
BUP94Z,Fork-tailed Drongo
DZ7UQ1,Fork-tailed Drongo
M32SHF,Fork-tailed Drongo
I1D36X,Fork-tailed Drongo
XIC1AI,Fork-tailed Drongo
VUDGQZ,Fork-tailed Drongo
R92OB9,Fork-tailed Drongo
UVO6MN,Fork-tailed Drongo
EQCZHH,Fork-tailed Drongo
BZCE4Y,Fork-tailed Drongo
ENKLG8,Fork-tailed Drongo
0009FW,Fork-tailed Drongo
P9EKGO,Fork-tailed Drongo
GR8TQE,Fork-tailed Drongo
W5XQKJ,African Paradise Flycatcher
QL5FWZ,African Paradise Flycatcher
BUYD77,African Paradise Flycatcher
MJTCW2,African Paradise Flycatcher
Q7A17U,African Paradise Flycatcher
KFYLAM,African Paradise Flycatcher
WLNX4N,African Paradise Flycatcher
425ZV1,African Paradise Flycatcher
R56683,African Paradise Flycatcher
9KOSN5,African Paradise Flycatcher
5ERMTO,African Paradise Flycatcher
V38EU6,African Paradise Flycatcher
C5K6VU,African Paradise Flycatcher
UY855J,African Paradise Flycatcher
5515X3,African Paradise Flycatcher
KV3JWL,African Paradise Flycatcher
53H87J,African Paradise Flycatcher
B8XBA9,African Paradise Flycatcher
UN76HL,African Paradise Flycatcher
FMVGU4,African Paradise Flycatcher
SW00KZ,African Paradise Flycatcher
DBDL0X,African Paradise Flycatcher
ZH67BT,African Paradise Flycatcher
4EPMY4,African Paradise Flycatcher
HCPP8T,African Paradise Flycatcher
YRM5PD,African Paradise Flycatcher
3X24H9,African Paradise Flycatcher
PEZXPM,African Paradise Flycatcher
PHG5IL,African Paradise Flycatcher
5DJMTH,African Paradise Flycatcher
YDIF0H,African Paradise Flycatcher
NFARAH,African Paradise Flycatcher
IXR2H0,African Paradise Flycatcher
ZN6T1Y,Sabota Lark
CZBKVG,Sabota Lark
AQHT6S,Sabota Lark
0V12SO,Sabota Lark
AIKP40,Sabota Lark
G0SMRB,Sabota Lark
K48R7H,Sabota Lark
4425U3,Sabota Lark
M1F74F,Sabota Lark
VAV6SB,Sabota Lark
2AHK1L,Sabota Lark
7GUY20,Sabota Lark
L3EXE3,Sabota Lark
OMH6N1,Sabota Lark
KD1GL6,Sabota Lark
2N1VZL,Sabota Lark
58D6LH,Sabota Lark
ZIPPIO,Sabota Lark
GLGFFJ,Sabota Lark
I92BLU,Sabota Lark
J44SPZ,Sabota Lark
Z3JWFF,Sabota Lark
WVWSAV,Sabota Lark
HSV8OQ,Sabota Lark
RGJNOE,Sabota Lark
9TH80N,Sabota Lark
I7JDIG,Sabota Lark
RS81B1,Sabota Lark
HHTYHS,Sabota Lark
TQZOOD,Sabota Lark
L8F7Z8,Sabota Lark
UVWAE9,Sabota Lark
R7SNF9,Sabota Lark
OK2QTS,Sabota Lark
84SAQB,Sabota Lark
LAE7IM,Sabota Lark
OR5E5I,Sabota Lark
9RV2O4,Sabota Lark
ZTPBR8,Sabota Lark
NDRPHW,Sabota Lark
CY6R50,Sabota Lark
3UIJ8R,Sabota Lark
YAZ7EN,Sabota Lark
2HQRAW,Sabota Lark
9ELV4Z,Sabota Lark
UMS3G3,Sabota Lark
0BEEHQ,Sabota Lark
T57XG9,Sabota Lark
KTD8QH,Eastern Clapper Lark
RK3L7X,Eastern Clapper Lark
FRA6ZA,Eastern Clapper Lark
6W77GZ,Eastern Clapper Lark
R6RXHB,Eastern Clapper Lark
SZGF3T,Eastern Clapper Lark
Z80RFI,Eastern Clapper Lark
VIHELA,Eastern Clapper Lark
K78HZH,Eastern Clapper Lark
DFVZ70,Eastern Clapper Lark
YO63YZ,Eastern Clapper Lark
4V0G4K,Eastern Clapper Lark
HG625P,Eastern Clapper Lark
THC5QH,Eastern Clapper Lark
VTTM6X,Eastern Clapper Lark
YIGCER,Eastern Clapper Lark
0EFEG5,Eastern Clapper Lark
O79IIH,Eastern Clapper Lark
A2XVBS,Eastern Clapper Lark
TO3ZLQ,Eastern Clapper Lark
BEEYEM,Eastern Clapper Lark
34U0B8,Eastern Clapper Lark
KMVGLD,Eastern Clapper Lark
IK0EC8,Eastern Clapper Lark
9MK7YJ,Eastern Clapper Lark
LF07ES,Eastern Clapper Lark
4IR3EJ,Eastern Clapper Lark
ZEK7LW,Eastern Clapper Lark
A0THVG,Eastern Clapper Lark
F41QWA,Eastern Clapper Lark
7RK1TU,Eastern Clapper Lark
6G6C39,Eastern Clapper Lark
CZE7KS,Eastern Clapper Lark
QY4VDY,Eastern Clapper Lark
UGPZ1L,Eastern Clapper Lark
LKGB1N,Eastern Clapper Lark
CUQAQ3,Eastern Clapper Lark
EOOAHR,Rufous-naped Lark
6JYDUA,Rufous-naped Lark
6TDPVM,Rufous-naped Lark
9TUPQR,Rufous-naped Lark
Z1NKVH,Rufous-naped Lark
5NPF5X,Rufous-naped Lark
MS7PLD,Rufous-naped Lark
ULOJF9,Rufous-naped Lark
AMA23S,Rufous-naped Lark
34BXW4,Rufous-naped Lark
9THKN0,Rufous-naped Lark
8AG8WR,Rufous-naped Lark
5G150Y,Rufous-naped Lark
5FPP3F,Rufous-naped Lark
SQVVA8,Rufous-naped Lark
PX1J7E,Rufous-naped Lark
CQ1SCM,Rufous-naped Lark
X0VFXT,Rufous-naped Lark
UYXQQF,Rufous-naped Lark
PVM2ZQ,Rufous-naped Lark
WFYK5D,Rufous-naped Lark
25IFOX,Rufous-naped Lark
JRW37Q,Rufous-naped Lark
EID90A,Rufous-naped Lark
98HFM7,Rufous-naped Lark
RKL6IU,Rufous-naped Lark
JQEBYE,Rufous-naped Lark
6G5SQU,Rufous-naped Lark
SN9HWB,Rufous-naped Lark
3ZDYSP,Rufous-naped Lark
EWIYDW,Rufous-naped Lark
4WRV02,Rufous-naped Lark
YG9O98,Rufous-naped Lark
DGYN28,Rufous-naped Lark
0C6ZAH,Rufous-naped Lark
70H2WE,Rufous-naped Lark
E0BVTQ,Rufous-naped Lark
5KR18T,Rufous-naped Lark
J9YXHH,Rufous-naped Lark
0JXHHP,Rufous-naped Lark
HHRE96,Rufous-naped Lark
GU861X,Rufous-naped Lark
DF2C11,Rufous-naped Lark
OY39QU,Rufous-naped Lark
5YSFB4,Rufous-naped Lark
3UOM38,Rufous-naped Lark
ZOUY5W,Rufous-naped Lark
8OUOLH,Rufous-naped Lark
PYY3MR,Rufous-naped Lark
G84M55,Rufous-naped Lark
RGXMXH,Rufous-naped Lark
YEZVK5,Rufous-naped Lark
0GYN58,Rufous-naped Lark
JIQL6N,Rufous-naped Lark
I8LRZV,Rufous-naped Lark
CU2BCB,Rufous-naped Lark
L0Q548,Rufous-naped Lark
HQTVMS,Rufous-naped Lark
K9DOJ4,Rufous-naped Lark
7COG4O,Rufous-naped Lark
16GR6O,Rufous-naped Lark
TYJJEW,Rufous-naped Lark
QQYLAD,Rufous-naped Lark
VIZ1Y4,Rufous-naped Lark
74WATW,Rufous-naped Lark
KNKK4T,Dark-capped Bulbul
AR7CS5,Dark-capped Bulbul
YW1MEW,Dark-capped Bulbul
W9LS0S,Dark-capped Bulbul
AMR9AF,Dark-capped Bulbul
C6A98R,Dark-capped Bulbul
G770IS,Dark-capped Bulbul
3BNEI9,Dark-capped Bulbul
T84U42,Dark-capped Bulbul
IILF6X,Dark-capped Bulbul
YPC6BS,Dark-capped Bulbul
S5YCT1,Dark-capped Bulbul
ZG0MYG,Dark-capped Bulbul
QPVWZR,Dark-capped Bulbul
R13FEA,Dark-capped Bulbul
7F7H22,Dark-capped Bulbul
31CWY2,Dark-capped Bulbul
7RQT72,Dark-capped Bulbul
8B4B9L,Dark-capped Bulbul
3OTI74,Dark-capped Bulbul
90GB2C,Dark-capped Bulbul
0E9DMQ,Dark-capped Bulbul
15P4UG,Dark-capped Bulbul
EA8VS0,Dark-capped Bulbul
6IO05X,Dark-capped Bulbul
TL03IC,Dark-capped Bulbul
WQBCLK,Dark-capped Bulbul
7VYVZC,Dark-capped Bulbul
